fusion  |0           |0.8611
fusion  |1           |0.5596
fusion  |2           |0.7612
fusion  |3           |0.5747
fusion  |4           |0.6786
fusion  |5           |0.6958
fusion  |6           |0.8098
fusion  |7           |0.8320
fusion  |8           |0.2517
fusion  |9           |0.5375
fusion  |10          |0.2623
fusion  |11          |0.0497
fusion  |12          |0.0836
fusion  |13          |0.2479
fusion  |14          |0.8244
fusion  |15          |1.0000
fusion  |16          |0.1350
fusion  |17          |0.0105
fusion  |18          |0.3303
fusion  |19          |0.3929
fusion  |20          |0.0247
fusion  |21          |0.0105
fusion  |22          |0.0265
fusion  |23          |0.9883
fusion  |24          |0.9697
fusion  |25          |0.9244
fusion  |26          |0.9862
fusion  |27          |0.8524
fusion  |28          |0.9301
fusion  |29          |0.7492
fusion  |30          |0.5621
fusion  |31          |0.7718
fusion  |32          |0.3522
fusion  |33          |0.6097
fusion  |34          |0.1105
fusion  |35          |0.0922
fusion  |36          |0.2196
fusion  |37          |0.3297
fusion  |38          |0.2408
fusion  |39          |0.3961
fusion  |40          |0.3012
fusion  |41          |0.5700
fusion  |42          |0.9376
fusion  |43          |0.0657
fusion  |44          |0.5528
fusion  |45          |0.7937
fusion  |46          |0.7944
fusion  |47          |0.0788
fusion  |48          |1.0000
fusion  |49          |0.9902
fusion  |50          |0.8804
fusion  |51          |0.8020
fusion  |52          |0.5368
fusion  |53          |0.6765
fusion  |54          |0.5825
fusion  |55          |0.5338
fusion  |56          |0.4900
fusion  |57          |0.5809
fusion  |58          |0.8839
fusion  |59          |0.6611
fusion  |60          |0.7070
fusion  |61          |0.8873
fusion  |62          |0.2744
fusion  |63          |0.4910
fusion  |64          |0.4794
fusion  |65          |0.5481
fusion  |66          |0.5034
fusion  |67          |0.7444
fusion  |68          |0.6762
fusion  |69          |0.3034
fusion  |70          |0.1181
fusion  |71          |0.1601
fusion  |72          |0.1324
fusion  |73          |0.8209
fusion  |74          |0.2153
fusion  |75          |0.2559
fusion  |76          |1.0000
fusion  |77          |0.8875
fusion  |78          |0.0000
fusion  |79          |0.2722
fusion  |80          |0.0652
fusion  |81          |0.5093
